Tarih;Çorba;Ana Yemek 1;Ana Yemek 2;Yaninda;Kalori
01.08.2026;IZMIR ÇORBASI;HASANPASA KÖFTE;KELEBEK MAKARNA;MEYVE;1478 KCAL
02.08.2026;SEHRIYE ÇORBASI;ISPANAK SUFLE;BÖREK;MAGNOLIA;1455 KCAL
03.08.2026;KASARLI DOMATES ÇORBASI;IZGARA PILIÇ KÜLBASTI;SPAGETTI MAKARNA;MEYVE;1495 KCAL
04.08.2026;TAVUK ÇORBASI;TAZE FASULYE;PIRINÇ PILAV;DONDURMA;1473 KCAL
05.08.2026;EZOGELIN ÇORBASI;KILIS TAVA;BULGUR PILAVI;MEYVE;1486 KCAL
06.08.2026;MERCIMEK ÇORBASI;NOHUT;PIRINÇ PILAVI;IRMIK HELVASI;1474 KCAL
07.08.2026;KREMALI SEHRIYE ÇORBASI;KARNIYARIK;MAKARNA;MEYVE;1472 KCAL
08.08.2026;TOYGA ÇORBASI;DOLMA;BÖREK;PUDING;1465 KCAL
09.08.2026;TARHANA ÇORBASI;PATATES MUSAKKA;BULGUR PILAVI;MEYVE;1470 KCAL
10.08.2026;EZOGELIN ÇORBASI;FIRIN TAVUK;MAKARNA;MEYVE;1468 KCAL
11.08.2026;MERCIMEK ÇORBASI;FIRIN TÜRLÜ;PIRINÇ PILAVI;GAZOZ;1488 KCAL
12.08.2026;SEBZE ÇORBASI;ET YAHNI;KESKEK;MEYVE;1512 KCAL
13.08.2026;TAVUK ÇORBASI;KURU FASULYE;PIRINÇ PILAVI;HASHASLI REVANI;1479 KCAL
14.08.2026;TARHANA ÇORBASI;TAVUK KAVURMA;BULGUR PILAV;MEYVE;1477 KCAL
15.08.2026;EZOGELIN ÇORBASI;PATLICAN MUSAKKA;MAKARNA;KIBRIS TATLISI;1483 KCAL
16.08.2026;IZMIR ÇORBASI;MANTI;KARISIK KIZARTMA;MEYVE;1462 KCAL
17.08.2026;TOYGA ÇORBASI;TAZE FASÜLYE;PIRINÇ PILAVI;UN HELVASI;1484 KCAL
18.08.2026;KASARLI DOMATES ÇORBASI;PILIÇ MEKSIKA;MAKARNA;MEYVE;1475 KCAL
19.08.2026;TARHANA ÇORBASI;DOLMA;TEPSI BÖREK;ASURE;1478 KCAL
20.08.2026;YAYLA ÇORBASI;ISLIM KÖFTE;BULGUR PILAVI;MEYVE;1480 KCAL
21.08.2026;MERCIMEK ÇORBASI;NOHUT;PIRINÇ PILAVI;TRAMISU;1469 KCAL
22.08.2026;KREMALI SEHRIYE ÇORBASI;SEBZELI KÖFTE;BULGUR PILAVI;MEYVE;1477 KCAL
23.08.2026;EZOGELIN ÇORBASI;KABAK GONDOL;ERISTE MAKARNA;KALBURABASTI;1478 KCAL
24.08.2026;TAVUK ÇORBASI;KURU FASULYE;PIRINÇ PILAVI;DONDURMA;1475 KCAL
25.08.2026;TARHANA ÇORBASI;IZGARA KANAT;BULGUR PILAVI;MEYVE;1500 KCAL
26.08.2026;SEBZE ÇORBASI;ETLI KAGIT KEBABI;SADE PIRINÇ PILAVI;KARPUZ;1494 KCAL
27.08.2026;MERCIMEK ÇORBASI;KARNIYARIK;MAKARNA;BROWNI;1482 KCAL
28.08.2026;EZOGELIN ÇORBASI;TAVUK FAJITA;NOHUT BULGUR PILAVI;MEYVE;1479 KCAL
29.08.2026;TOYGA ÇORBASI;PATATES MUSAKKA;PIRINÇ PILAVI;SEKERPARE;1483 KCAL
30.08.2026;KÖY ÇORBASI;KIYMALI BEZELYE;MAKARNA;MEYVE;1461 KCAL
31.08.2026;YAYLA ÇORBASI;IZMIR KÖFTE;BULGUR PILAVI;KAZANDIBI;1483 KCAL
