Tarih;Çorba;Ana Yemek 1;Ana Yemek 2;Yaninda;Kalori
01.09.2026;MERCIMEK ÇORBASI;NOHUT;PIRINÇ PILAVI;IRMIK HELVASI;1474 KCAL
02.09.2026;KASARLI DOMATES ÇORBASI;IZGARA PILIÇ KÜLBASTI;ÇARLISTON MAKARNA;MEYVE;1495 KCAL
03.09.2026;EZOGELIN ÇORBASI;PATLICAN MUSAKKA;BULGUR PILAVI;GAZOZ;1480 KCAL
04.09.2026;ARPA SEHRIYE ÇORBASI;ORMAN KEBABI;PIRINÇ PILAVI;MEYVE;1478 KCAL
05.09.2026;TOYGA ÇORBASI;DOLMA;KARISIK KIZARTMA;KIBRIS TATLISI;1463 KCAL
06.09.2026;IZMIR ÇORBASI;HASANPASA KÖFTE;BULGUR PILAVI;MEYVE;1478 KCAL
07.09.2026;TARHANA ÇORBASI;FIRIN BAGET;PENNE MAKARNA;MEYVE;1470 KCAL
08.09.2026;TAVUK ÇORBASI;FIRIN TÜRLÜ;BULGUR PILAVI;ASURE;1486 KCAL
09.09.2026;EZOGELIN ÇORBASI;ET HASLAMA;SADE PIRINÇ PILAVI;MEYVE;1520 KCAL
10.09.2026;MERCIMEK ÇORBASI;KURU FASULYE;PIRINÇ PILAVI;SAMBALI;1475 KCAL
11.09.2026;DOMATES ÇORBASI;TAVUK FAJITA;SPAGETTI MAKARNA;MEYVE;1478 KCAL
12.09.2026;IZMIR ÇORBASI;ISPANAK SUFLE;BÖREK;PUDING;1456 KCAL
13.09.2026;KÖY ÇORBASI;ISLIM KÖFTE;BULGUR PILAVI;MEYVE;1481 KCAL
14.09.2026;MERCIMEK ÇORBASI;NOHUT;PIRINÇ PILAVI;KALBURABASTI;1475 KCAL
15.09.2026;YAYLA ÇORBASI;KILIS TAVA;KELEBEK MAKARNA;MEYVE;1483 KCAL
16.09.2026;KREMALI SEHRIYE ÇORBASI;KARNIYARIK;BULGUR PILAVI;ÇITIR KADAYIFLI MUHALLEBI;1487 KCAL
17.09.2026;EZOGELIN ÇORBASI;IZGARA PILIÇ KANAT;ÇARLISTON MAKARNA;MEYVE;1498 KCAL
18.09.2026;TAVUK ÇORBASI;TAZE FASÜLYE;PIRINÇ PILAVI;DONDURMA;1473 KCAL
19.09.2026;TARHANA ÇORBASI;FIRINDA SEBZELI KIR KÖFTESI;ERISTE MAKARNA;MEYVE;1477 KCAL
20.09.2026;TOYGA ÇORBASI;PATATES MUSAKKA;BULGUR PILAVI;MAGNOLYA;1472 KCAL
21.09.2026;EZOGELIN ÇORBASI;IZMIR KÖFTE;PIRINÇ PILAVI;MEYVE;1506 KCAL
22.09.2026;MERCIMEK ÇORBASI;DOLMA;FIRIN MAKARNA;PORTAKALLI REVANI;1480 KCAL
23.09.2026;KASARLI DOMATES ÇORBASI;TAVUK BUT SIS;BULGUR PILAVI;MEYVE;1450 KCAL
24.09.2026;TAVUK ÇORBASI;KURU FASULYE;PIRINÇ PILAVI;BROWNI;1479 KCAL
25.09.2026;TARHANA ÇORBASI;BESAMEL SOSLU KIYMALI OTURTMA;SPAGETTI MAKARNA;MEYVE;1476 KCAL
26.09.2026;KÖY ÇORBASI;KIYMALI BEZELYE;PIRINÇ PILAVI;KAZANDIBI;1468 KCAL
27.09.2026;YAYLA ÇORBASI;SOSLU MISKET KÖFTE;BULGUR PILAVI;MEYVE;1465 KCAL
28.09.2026;EZOGELIN ÇORBASI;TAVUK KAVURMA;PENNE MAKARNA;MEYVE;1477 KCAL
29.09.2026;MERCIMEK ÇORBASI;NOHUT;BULGUR PILAVI;FIRIN SÜTLAÇ;1473 KCAL
30.09.2026;SEHRIYE ÇORBASI;ETLI KAGIT KEBABI;SADE PIRINÇ PILAVI;MEYVE;1498 KCAL
