Tarih;Çorba;Ana Yemek 1;Ana Yemek 2;Yanında;Kalori
01.07.2026;TAVUK ÇORBASI;KURU FASULYE;PIRINÇ PILAVI;UN HELVASI;1482 KCAL
02.07.2026;TARHANA ÇORBASI;ISLIM KÖFTE;SPAGETTI MAKARNA;MEYVE;1473 KCAL
03.07.2026;TOYGA ÇORBASI;DOLMA;BÖREK;SARIBURMA;1470 KCAL
04.07.2026;DOMATES ÇORBASI;MANTI;KARISIK KIZARTMA;MEYVE;1463 KCAL
05.07.2026;IZMIR ÇORBASI;ÇIFTLIK KEBABI;BULGUR PILAVI;SEKERPARE;1510 KCAL
06.07.2026;SEBZE ÇORBASI;ET KAVURMA;KESKEK;MEYVE;1506 KCAL
07.07.2026;MERCIMEK ÇORBASI;NOHUT;PIRINÇ PILAVI;DONDURMA;1480 KCAL
08.07.2026;TOYGA ÇORBASI;KARNIYARIK;BULGUR PILAVI;ASURE;1494 KCAL
09.07.2026;EZOGELIN ÇORBASI;FIRIN TAVUK;PENNE MAKARNA;MEYVE;1468 KCAL
10.07.2026;YAYLA ÇORBASI;TAZE FASULYE;BULGUR PILAVI;GAZOZ;1478 KCAL
11.07.2026;KÖY ÇORBASI;SEBZELI KÖFTE;PIRINÇ PILAV;PUDING;1482 KCAL
12.07.2026;DOMATES ÇORBASI;KABAK GONDOL;BURGU MAKARNA;MEYVE;1469 KCAL
13.07.2026;TAVUK ÇORBASI;KURU FASULYE;PIRINÇ PILAVI;IRMIK HELVASI;1476 KCAL
14.07.2026;MERCIMEK ÇORBASI;KILIS TAVA;KELEBEK MAKARNA;MEYVE;1483 KCAL
15.07.2026;YAYLA ÇORBASI;FIRIN TÜRLÜ;BULGUR PILAVI;ÇITIR MUHALLEBI;1485 KCAL
16.07.2026;EZOGELIN ÇORBASI;IZGARA PILIÇ KÜLBASTI;SOSLU FIYONK MAKARNA;MEYVE;1492 KCAL
17.07.2026;TARHANA ÇORBASI;SEBZELI KÖFTE;BULGUR PILAVI;KIBRIS TATLISI;1485 KCAL
18.07.2026;KREMALI SEHRIYE ÇORBASI;KARNIYARIK;PIRINÇ PILAV;MEYVE;1477 KCAL
19.07.2026;KÖY ÇORBASI;BEZELYE;BULGUR PILAVI;KALBURABASTI;1468 KCAL
20.07.2026;TARHANA ÇORBASI;SEBZELI TAVUK KANAT;PIRINÇ PILAV;MEYVE;1472 KCAL
21.07.2026;MERCIMEK ÇORBASI;DOLMA;BÖREK;FIRIN SÜTLAÇ;1466 KCAL
22.07.2026;EZOGELIN ÇORBASI;ORMAN KEBABI;BULGUR PILAVI;MEYVE;1471 KCAL
23.07.2026;TAVUK ÇORBASI;NOHUT;PIRINÇ PILAVI;TRILIÇE;1487 KCAL
24.07.2026;DOMATES ÇORBASI;TAVUK KAVURMA;SPAGHETTI MAKARNA;MEYVE;1475 KCAL
25.07.2026;TOYGA ÇORBASI;PATATES MUSAKKA;BULGUR PILAVI;SAMBALI;1482 KCAL
26.07.2026;YAYLA ÇORBASI;ISLIM KÖFTE;ERISTE;MEYVE;1472 KCAL
27.07.2026;TAVUK ÇORBASI;KURU FASULYE;PIRINÇ PILAVI;BROWNI;1488 KCAL
28.07.2026;SEBZE ÇORBASI;SAÇ KAVURMA;KESKEK;MEYVE;1503 KCAL
29.07.2026;MERCIMEK ÇORBASI;PATLICAN MUSAKKA;BULGUR PILAVI;KAZANDIBI;1480 KCAL
30.07.2026;EZOGELIN ÇORBASI;TAVUK FAJITA;PENNE MAKARNA;MEYVE;1476 KCAL
31.07.2026;KREMALI SEHRIYE ÇORBASI;FIRIN TÜRLÜ;PIRINÇ PILAVI;HASHASLI REVANI;1488 KCAL
